TITLE,ARTIST,PEAK
BLINDING LIGHTS,THE WEEKND,1
DANCE MONKEY,TONES AND I,1
ROSES,SAINT JHN,1
ROCKSTAR (feat. Roddy Ricch),"DABABY, RODDY RICCH",1
BEFORE YOU GO,LEWIS CAPALDI,1
HEAD & HEART (feat. MNEK),"JOEL CORRY, MNEK",1
DON'T START NOW,DUA LIPA,2
SOMEONE YOU LOVED,LEWIS CAPALDI,1
THE BOX,RODDY RICCH,2
LIFE IS GOOD (feat. Drake),"FUTURE, DRAKE",3
OWN IT (feat. Ed Sheeran & Burna Boy),"STORMZY, ED SHEERAN, BURNA BOY",1
SAVAGE LOVE (LAXED - SIREN BEAT),"JAWSH 685, JASON DERULO",1
ROVER (feat. DTG),"S1MBA, DTG",3
WATERMELON SUGAR,HARRY STYLES,4
SAY SO,DOJA CAT,2
LONELY,JOEL CORRY,4
MOOD (feat. iann dior),"24KGOLDN, IANN DIOR",1
WAP (feat. MEGAN THEE STALLION),"CARDI B, MEGAN THEE STALLION",1
ADORE YOU,HARRY STYLES,7
RAIN ON ME (with Ariana Grande),"LADY GAGA, ARIANA GRANDE",1
BREAKING ME,"TOPIC, A7S",3
PHYSICAL,DUA LIPA,3
DEATH BED (coffee for your head),"POWFU, BEABADOOBEE",4
GODZILLA (feat. Juice WRLD),"EMINEM, JUICE WRLD",1
BRUISES,LEWIS CAPALDI,6
BABY SHARK,PINKFONG,6
TOOSIE SLIDE,DRAKE,1
RAIN,"AITCH, AJ TRACEY, TAY KEITH",3
BLUEBERRY FAYGO,LIL MOSEY,9
BAD GUY,BILLIE EILISH,2
ROXANNE,ARIZONA ZERVAS,4
MEMORIES,MAROON 5,5
EVERYTHING I WANTED,BILLIE EILISH,3
INTENTIONS,"JUSTIN BIEBER, QUAVO",8
MOOD SWINGS (feat. Lil Tjay),"POP SMOKE, LIL TJAY",5
FLOWERS,"NATHAN DAWE, JAYKAE",12
SAVAGE,MEGAN THEE STALLION,3
I DON'T CARE (with Justin Bieber),"ED SHEERAN, JUSTIN BIEBER",1
RIDE IT,REGARD,2
PERFECT,ED SHEERAN,1
